ScientificName;VernacularName;UUID
Charadrius alexandrinus Linnaeus, 1758;Seeregenpfeifer;9c62e6e2-71ae-4db6-8eec-a530515ebc0c
Acrocephalus paludicola (Vieillot, 1817);Seggenrohrsänger;b62b49a7-e98f-49b4-b048-ad600d27e850
Larus argentatus Pontoppidan, 1763;Silbermöwe;156f1360-55c2-437a-9ae2-7df09f6a6dbf
Turdus philomelos C.L. Brehm, 1831;Singdrossel;ed071efe-4f81-4719-8826-f0faa190e0be
Cygnus cygnus (Linnaeus, 1758);Singschwan;d806dc34-cc6c-4b83-a2dc-a76c21447457
Regulus ignicapilla (Temminck, 1820);Sommergoldhähnchen;590de95d-8335-4805-a04e-42b608390cdc
Accipiter nisus (Linnaeus, 1758);Sperber;5ed85373-f711-4942-8a4b-f435b2e84440
Sylvia nisoria (Bechstein, 1795);Sperbergrasmücke;e5241904-e78f-4eec-8385-38bb12592923
Glaucidium passerinum (Linnaeus, 1758);Sperlingskauz;ae465ba7-06ce-454e-a5f2-b0cf21a83b76
Anas acuta Linnaeus, 1758;Spießente;77b4d161-f25c-4522-b7b0-c85454e6beb9
Luscinia luscinia (Linnaeus, 1758);Sprosser;0aa591ab-0b3a-4f35-843a-e061e8bc2dee
Sturnus vulgaris Linnaeus, 1758;Star;d4ddd400-ae3a-4abb-b2e3-5982cd9db610
Aquila chrysaetos (Linnaeus, 1758);Steinadler;47b35070-ac0a-4e8a-b259-282e9d59a255
Alectoris graeca (Meisner, 1804);Steinhuhn;fb3478ad-baa7-46a0-b273-6f632b4d24bf
Athene noctua (Scopoli, 1769);Steinkauz;a9728e94-5d20-4787-9af2-055aa0ab0152
Monticola saxatilis (Linnaeus, 1766);Steinrötel;5846344f-c53c-420e-a16b-cd285ed2214d
Oenanthe oenanthe (Linnaeus, 1758);Steinschmätzer;65eb94ca-8a9f-40ed-9c46-308a4f87e8f6
Petronia petronia (Linnaeus, 1766);Steinsperling;e48547b9-c8ef-4688-8c6a-0c15fb5b2919
Arenaria interpres (Linnaeus, 1758);Steinwälzer;29d346c1-bc34-4689-bd4f-82b822c195c1
Larus cachinnans Pallas, 1811;Steppenmöwe;007e39fa-c446-42e3-9a44-a028ee56699f
Carduelis carduelis (Linnaeus, 1758);Stieglitz;f55132ee-d23b-460f-86cd-ab0ab0f2f441
Anas platyrhynchos Linnaeus, 1758;Stockente;ebb1e3af-542c-4991-8e82-68295cbc18dd
Columba livia f. domestica J.F. Gmelin, 1789;Straßentaube;87c9e852-fbbc-4914-869f-efbb6936bac0
Anser indicus (Latham, 1790);Streifengans;334e36c4-2de1-401a-944b-00c050e76edf
Larus canus Linnaeus, 1758;Sturmmöwe;18b0e3cd-ce94-420f-81ea-d9ad73137d15
Parus palustris Linnaeus, 1758;Sumpfmeise;570341d2-361f-4f48-b4d8-741f550c1440
Asio flammeus (Pontoppidan, 1763);Sumpfohreule;a091156e-afac-4edb-9667-6214be82ed8d
Acrocephalus palustris (Bechstein, 1798);Sumpfrohrsänger;e15c4e6d-4a3e-4147-8666-d4444a063c6c
Aythya ferina (Linnaeus, 1758);Tafelente;78b96350-3971-4e31-a09d-67dfa9ddd7f3
Nucifraga caryocatactes (Linnaeus, 1758);Tannenhäher;6bef44ef-2dd1-4b6d-9e19-13c4f909bae7
Parus ater Linnaeus, 1758;Tannenmeise;ceb2782b-8726-466e-a45c-41673e0dcf09
Gallinula chloropus (Linnaeus, 1758);Teichhuhn;be824176-0dbb-4e5e-949c-39c184b4602a
Acrocephalus scirpaceus (Hermann, 1804);Teichrohrsänger;da807447-15d3-4a70-8f04-dc0447eb543f
Alca torda Linnaeus, 1758;Tordalk;a8facb27-bf83-4b7d-b035-2d64df0b9f3c
Motacilla yarrellii Gould, 1837;Trauerbachstelze;e6c2263d-e8d1-4475-87be-30497667b4dd
Ficedula hypoleuca (Pallas, 1764);Trauerschnäpper;edb49d0f-5d79-46b8-9a05-5873596c39d6
Chlidonias niger (Linnaeus, 1758);Trauerseeschwalbe;f93f4525-4f66-4885-9563-736acf3d58dd
Burhinus oedicnemus (Linnaeus, 1758);Triel;a414587f-50fa-43f8-aa02-ae814cbe0fa2
Uria aalge (Pontoppidan, 1763);Trottellumme;8cfc803c-1d38-488d-b2a1-fe99edbdb3f2
Meleagris gallopavo Linnaeus, 1758;Truthuhn;59fc5176-8be0-4f42-8db2-c1d03021ffaf
Porzana porzana (Linnaeus, 1766);Tüpfelsumpfhuhn;87ba3a84-4818-431b-ba56-b0c0b1c1f89a
Streptopelia decaocto (Frivaldszky, 1838);Türkentaube;5f117728-032d-4048-88cc-384f9f55f110
Falco tinnunculus Linnaeus, 1758;Turmfalke;3234321b-a424-44a9-8cdb-4f96c8dbdff5
Streptopelia turtur (Linnaeus, 1758);Turteltaube;acca30ea-ac3a-4220-a521-491abc39d803
Limosa limosa (Linnaeus, 1758);Uferschnepfe;80a3657c-566d-4fdf-b383-7b38752d4b7d
Riparia riparia (Linnaeus, 1758);Uferschwalbe;6b0efdea-818f-413f-99aa-16a4c5f10acf
